,ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source,Contribution_ID,Word_ID,BorrowedScore,AgeScore,SimplicityScore,Borrowed,Analyzability,Age,ContactSituation,age_label,borrowed_base,calqued,colonial_word,comment_on_borrowed,comment_on_word_form,effect,etymological_note,gloss,grammatical_info,integration,lexical_stratum,loan_history,numeric_frequency,original_script,other_comments,reference,register,relative_frequency,salience,word_source,x1,word,origin_type,source_language,original_word,source_language_short,symbol,word_form_source,n,y,color,source_language_lumped
507,8309,13,20-13,battle,,,13,13,72212320351973365,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,before 1300 [13],French contact [13],before 1300,,,,,,Coexistence,,,,,,,,,,,,,Present in pre-contact environment,,75.0,battle,immediate,French,bataille,French,,battle / bataille,195,180,#221F1D,French
344,7876,13,11-83,barter,,,13,13,72212320527738603,0.75,1.0,1.0,2. probably borrowed,unanalyzable,c. 1440 [13],French contact [13],c. 1440,,,,,,Coexistence,,,,,,,,,The links between the English and French words are not completely secure,,,,Present in pre-contact environment,,71.0,barter,immediate,French,barater,French,,barter / barater,195,181,#221F1D,French
592,8440,13,23-44,bank,,,13,13,72212320173317861,1.0,0.9,1.0,1. clearly borrowed,unanalyzable,1567 [13],French contact [13],1567,,,,,,Insertion,,,,,,,,,,,,,Present only since contact,,66.0,bank,immediate,French,banque,French,,bank / banque,195,182,#221F1D,French
393,8060,13,14-77,autumn,,,13,13,72212320845403958,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1374 [13],French contact [13],c. 1374,,,,,,Replacement,,,,,,,,,,,,,Present in pre-contact environment,,56.0,autumn,immediate,French,automne,French,,autumn / automne,195,183,#221F1D,French
521,8330,13,20-43,attack,,,13,13,72212320325556187,1.0,0.9,1.0,1. clearly borrowed,unanalyzable,1600 [13],French contact [13],1600,,,,,,Replacement,,,,,,,,,,,,,Present in pre-contact environment,,52.0,attack,immediate,French,attaquer,French,,attack / attaquer,195,184,#221F1D,French
549,8371,13,21-46,arson,,,13,13,722123205134056,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1275 [13],French contact [13],c. 1275,,,,,,Replacement,,,,,,,,,From Latin ardere ‘to burn’,,,,Present in pre-contact environment,,46.0,arson,immediate,French,arson,French,,arson / arson,195,185,#221F1D,French
311,7800,13,10-55,arrive,,,13,13,72212320823660653,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,1205 [13],French contact [13],1205,,,,,,Insertion,,,,,,,,,,,,,Present in pre-contact environment,,44.0,arrive,immediate,French,arriver,French,,arrive / arriver,195,186,#221F1D,French
509,8311,13,20-15,army,,,13,13,72212320976352491,1.0,1.0,0.75,1. clearly borrowed,semi-analyzable,c. 1386 [13],French contact [13],c. 1386,,,,,Related to “arm(s)” via a derivational cycle which is opaque in English,Replacement,,,,,,,,,,,,,Present in pre-contact environment,,42.0,army,immediate,French,armée,French,,army / armée,195,187,#221F1D,French
225,7587,13,7-58,arch,,,13,13,72212320192770764,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,1387 [13],French contact [13],1387,,,,,,Insertion,,,,,,,,,,,,,Present only since contact,,37.0,arch,immediate,French,arche,French,,arch / arche,195,188,#221F1D,French
171,7479,13,5-94,alcohol,,,13,13,72212320756683594,1.0,0.9,1.0,1. clearly borrowed,unanalyzable,1543 [13],French contact [13],1543,,,,,,Insertion,,,,,,,,,"Enters English from French, which took it from Late Latin, which acquired it from Arabic.",,,,Present in pre-contact environment,,18.0,alcohol,immediate,French,alcool,French,,alcohol / alcool,195,189,#221F1D,French
24,7018,13,1-71,air,,,13,13,7221231977822684,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,1300 [13],French contact [13],1300,,,,,,Replacement,,,,,,,,,,,,,Present in pre-contact environment,,16.0,air,immediate,French,air,French,,air / air,195,190,#221F1D,French
384,8006,13,14-12,age,,,13,13,72212320490063866,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1325 [13],French contact [13],c. 1325,,,,,,Coexistence,,,,,,,,,,,,,Present in pre-contact environment,,14.0,age,immediate,French,âge,French,,age / âge,195,191,#221F1D,French
468,8246,13,18-33,admit,,,13,13,72212320137025783,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,1413 [13],French contact [13],1413,,,,,,Replacement,,,,,,,,,The shape of the French form was realigned with its Latin etymon in the 15th century and the English borrowing followed suit,,,,Present in pre-contact environment,,7.0,admit,immediate,French,admettre,French,,admit / admettre,195,192,#221F1D,French
600,8433,13,23-385,address,,,13,13,7221232028847297,1.0,0.9,1.0,1. clearly borrowed,unanalyzable,1633 [13],French contact [13],1633,,,,,,Insertion,,,,,,,,,,,,,Present only since contact,,4.0,address,immediate,French,adresse,French,,address / adresse,195,193,#221F1D,French
538,8359,13,21-31,accuse,,,13,13,72212320376400698,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,1297 [13],French contact [13],1297,,,,,,No information,,,,,,,,,,,,,Present in pre-contact environment,,0.0,accuse,immediate,French,accuser,French,,accuse / accuser,195,194,#221F1D,French
71,7167,13,3-664,(sting)ray,,,13,13,72212320580872034,1.0,0.9,0.5,1. clearly borrowed,analyzable compound,1624 [13],French contact [13],1624,,,,"Second half is Latin loan, first half reconstructs to Proto-Germanic",,Insertion,,STING + RAY (kind of fish),,,,,,,,,,,Present only since contact,,,(sting)ray,immediate,French,raie,French,,(sting)ray / raie,195,195,#221F1D,French
506,8308,13,20-13,war,,,13,13,72212320897058797,0.5,1.0,1.0,3. perhaps borrowed,unanalyzable,1154 [13],French contact [13],1154,,,,It may be an inherited form in English but this is uncertain.,,Replacement,,,,,,,,,,,,,Present in pre-contact environment,,,war,immediate,French (Anglo-Norman),guerre,French (Anglo-Norman),,war / guerre,138,1,#221F1D,French (Anglo-Norman)
341,7871,13,11-78,wages,,,13,13,72212320679030591,1.0,1.0,0.5,1. clearly borrowed,analyzable derived,1183 [13],French contact [13],1183,,,,,,Insertion,,WAGE = -S,,,,,,,,,,,Present only since contact,,,wages,immediate,French (Anglo-Norman),wage,French (Anglo-Norman),,wages / wage,138,2,#221F1D,French (Anglo-Norman)
461,8224,13,18-11,voice,,,13,13,7221232023540023,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,before 1300 [13],French contact [13],before 1300,,,,,,Replacement,,,,,,,,,,,,,Present in pre-contact environment,,,voice,immediate,French (Anglo-Norman),voiz,French (Anglo-Norman),,voice / voiz,138,3,#221F1D,French (Anglo-Norman)
188,7521,13,6-59,veil,,,13,13,72212320168509828,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1250 [13],French contact [13],c. 1250,,,,,,Coexistence,,,,,,,,,,,,,Present in pre-contact environment,,,veil,immediate,French (Anglo-Norman),veile,French (Anglo-Norman),,veil / veile,138,4,#221F1D,French (Anglo-Norman)
200,7536,13,6-82,towel,,,13,13,7221232090377267,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,before 1300 [13],French contact [13],before 1300,,,,,,Insertion,,,,,,,,,,,,,Present only since contact,,,towel,immediate,French (Anglo-Norman),toaile,French (Anglo-Norman),,towel / toaile,138,5,#221F1D,French (Anglo-Norman)
340,7869,13,11-69,tax,,,13,13,72212320450194817,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,1290 [13],French contact [13],1290,,,,,,Replacement,,,,,,,,,,,,,Present in pre-contact environment,,,tax,immediate,French (Anglo-Norman),taxe,French (Anglo-Norman),,tax / taxe,138,6,#221F1D,French (Anglo-Norman)
578,8421,13,23-22,tablet,,,13,13,72212320846490867,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1315 [13],French contact [13],c. 1315,,,,In the sense of ‘pill’ first used c. 1582.,,Insertion,,,,,,,,,,,,,Present only since contact,,,tablet,immediate,French (Anglo-Norman),tablete,French (Anglo-Norman),,tablet / tablete,138,7,#221F1D,French (Anglo-Norman)
448,8195,13,17-37,sure,,,13,13,72212320559049287,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,14th century [13],French contact [13],14th century,,,,,,Coexistence,,,,,,,,,,,,,Present in pre-contact environment,,,sure,immediate,French (Anglo-Norman),sur,French (Anglo-Norman),,sure / sur,138,8,#221F1D,French (Anglo-Norman)
267,7666,13,8-941,sugar cane,,,13,13,72212320171058750,1.0,0.9,0.5,1. clearly borrowed,analyzable compound,1568 [13],French contact [13],1568,Calqued on French canne à sucre,,,,,Insertion,,SUGAR + CANE,,,,,,,"CANE is first recorded in 1398. The word entered English through Greek, Latin and French.",,,,Present only since contact,,,sugar cane,immediate,French (Anglo-Norman),cane,French (Anglo-Norman),,sugar cane / cane,138,9,#221F1D,French (Anglo-Norman)
440,8184,13,17-242,study,,,13,13,72212320167028658,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,1300 [13],French contact [13],1300,,,,,,Coexistence,,,,,,,,,,,,,Present in pre-contact environment,,,study,immediate,French (Anglo-Norman),estudier,French (Anglo-Norman),,study / estudier,138,10,#221F1D,French (Anglo-Norman)
146,7438,13,5-47,strain,,,13,13,7221232092099460,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,before 1340 [13],French contact [13],before 1340,,,,,This sense is first attested in 1483.,Replacement,,,,,,,,,,,,,Present in pre-contact environment,,,strain,immediate,French (Anglo-Norman),estreindre,French (Anglo-Norman),,strain / estreindre,138,11,#221F1D,French (Anglo-Norman)
348,7880,13,11-86,store,,,13,13,72212320894942729,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,1297 [13],French contact [13],1297,,,,,,No information,,,,,,,,,In this sense first recorded 1740,,Colloquial,,Present in pre-contact environment,,,store,immediate,French (Anglo-Norman),estorer,French (Anglo-Norman),,store / estorer,138,12,#221F1D,French (Anglo-Norman)
355,7904,13,12-16,stay,,,13,13,72212320995776182,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1440 [13],French contact [13],c. 1440,,,,,,Insertion,,,,,,,,,,,,,Present in pre-contact environment,,,stay,immediate,French (Anglo-Norman),estaier,French (Anglo-Norman),,stay / estaier,138,13,#221F1D,French (Anglo-Norman)
55,7107,13,3-19,stable,,,13,13,72212320617460512,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1250 [13],French contact [13],c. 1250,,,,,,Insertion,,,,,,,,,,,,,Present in pre-contact environment,,,stable,immediate,French (Anglo-Norman),estable,French (Anglo-Norman),,stable / estable,138,14,#221F1D,French (Anglo-Norman)
372,7958,13,12-78,square,,,13,13,72212320300990620,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,before 1300 [13],French contact [13],before 1300,,,,,,Insertion,,,,,,,,,,,,,Present in pre-contact environment,,,square,immediate,French (Anglo-Norman),esquire,French (Anglo-Norman),,square / esquire,138,15,#221F1D,French (Anglo-Norman)
406,8113,13,16-11,spirit,,,13,13,72212320228048768,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1250 [13],Latin contact [13],c. 1250,,,,,,Coexistence,,,,,,,,,,,,,Present in pre-contact environment,,,spirit,immediate,French (Anglo-Norman),spirit,French (Anglo-Norman),,spirit / spirit,138,16,#221F1D,French (Anglo-Norman)
347,7879,13,11-86,shop,,,13,13,72212320378466745,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,1297 [13],French contact [13],1297,,,,,,Coexistence,,,,,,,,,First recorded in England in Anglo-Latin schopa of the twelfth century,,,,Present in pre-contact environment,,,shop,immediate,French (Anglo-Norman),eschoppe,French (Anglo-Norman),,shop / eschoppe,138,17,#221F1D,French (Anglo-Norman)
493,8286,13,19-43,servant,,,13,13,7221232020774381,1.0,1.0,0.5,1. clearly borrowed,analyzable derived,before 1225 [13],French contact [13],before 1225,,,,“-ant” is borrowed,,Replacement,,SERVE + borrowed -ANT,,,,,,,,,,,Present in pre-contact environment,,,servant,immediate,French (Anglo-Norman),servant,French (Anglo-Norman),,servant / servant,138,18,#221F1D,French (Anglo-Norman)
446,8193,13,17-36,secret,,,13,13,72212320917337383,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,1399 [13],French contact [13],1399,,,,,,Replacement,,,,,,,,,,,,,Present in pre-contact environment,,,secret,immediate,French (Anglo-Norman),secré,French (Anglo-Norman),,secret / secré,138,19,#221F1D,French (Anglo-Norman)
487,8278,13,19-31,rule,,,13,13,72212320197360722,0.0,1.0,1.0,5. no evidence for borrowing,unanalyzable,before 1225 [13],French contact [13],before 1225,,,,,,Coexistence,,,,,,,,,,,,,Present in pre-contact environment,,,rule,immediate,French (Anglo-Norman),riule,French (Anglo-Norman),,rule / riule,138,20,#221F1D,French (Anglo-Norman)
22,7002,13,1-44,rock,,,13,13,72212319644629983,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1300 [13],French contact [13],c. 1300,,,,,,Coexistence,,,,,,,,,,,,,Present in pre-contact environment,,,rock,immediate,French (Anglo-Norman),"roque, rocque, roche",French (Anglo-Norman),,"rock / roque, rocque, roche",138,21,#221F1D,French (Anglo-Norman)
17,6990,13,1-36,river,,,13,13,72212319815492175,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1297 [13],French contact [13],c. 1297,,,,,,Replacement,,,,,,,,,,,,,Present in pre-contact environment,,,river,immediate,French (Anglo-Norman),river,French (Anglo-Norman),,river / river,138,22,#221F1D,French (Anglo-Norman)
326,7843,13,11-22,return,,,13,13,72212320910352172,1.0,0.9,0.75,1. clearly borrowed,semi-analyzable,1596 [13],Latin contact [13],1596,,,,,,Coexistence,,RE- + TURN,,,,,,,The transitive sense of this word is a semantic development within English,,,,Present in pre-contact environment,,,return,immediate,French (Anglo-Norman),retourner,French (Anglo-Norman),,return / retourner,138,23,#221F1D,French (Anglo-Norman)
328,7845,13,11-25,rescue,,,13,13,72212320738920849,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1300 [13],French contact [13],c. 1300,,,,,,Coexistence,,,,,,,,,,,,,Present in pre-contact environment,,,rescue,immediate,French (Anglo-Norman),rescoure,French (Anglo-Norman),,rescue / rescoure,138,24,#221F1D,French (Anglo-Norman)
443,8189,13,17-31,remember,,,13,13,72212320698053921,1.0,1.0,0.5,1. clearly borrowed,analyzable derived,c. 1330 [13],French contact [13],c. 1330,,,,,,Replacement,,RE- + memory,,,,,,,,,,,Present in pre-contact environment,,,remember,immediate,French (Anglo-Norman),remembrer,French (Anglo-Norman),,remember / remembrer,138,25,#221F1D,French (Anglo-Norman)
357,7906,13,12-17,remains,,,13,13,72212320319604111,1.0,1.0,0.5,1. clearly borrowed,analyzable derived,1456 [13],French contact [13],1456,,,,,,Coexistence,,remain.NMLZ-PL,,,,,,,,,,,Present in pre-contact environment,,,remains,immediate,French (Anglo-Norman),remanoir,French (Anglo-Norman),,remains / remanoir,138,26,#221F1D,French (Anglo-Norman)
356,7905,13,12-16,remain,,,13,13,72212320273832481,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1375 [13],French contact [13],c. 1375,,,,,,Replacement,,,,,,,,,,,,,Present in pre-contact environment,,,remain,immediate,French (Anglo-Norman),remayn-,French (Anglo-Norman),,remain / remayn-,138,27,#221F1D,French (Anglo-Norman)
551,8375,13,22-11,religion,,,13,13,72212320761536836,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1200 [13],French contact [13],c. 1200,,,,,,Coexistence,,,,,,,,,,,,,Present in pre-contact environment,,,religion,immediate,French (Anglo-Norman),religiun,French (Anglo-Norman),,religion / religiun,138,28,#221F1D,French (Anglo-Norman)
203,7541,13,6-93,razor,,,13,13,72212320919845440,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1290 [13],French contact [13],c. 1290,,,,,,Replacement,,,,,,,,,,,,,Present in pre-contact environment,,,razor,immediate,French (Anglo-Norman),razor,French (Anglo-Norman),,razor / razor,138,29,#221F1D,French (Anglo-Norman)
548,8370,13,21-44,rape,,,13,13,72212320460971441,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,1400 [13],French contact [13],1400,,,,,,Replacement,,,,,,,,,,,,,Present in pre-contact environment,,,rape,immediate,French (Anglo-Norman),rape,French (Anglo-Norman),,rape / rape,138,30,#221F1D,French (Anglo-Norman)
400,8077,13,15-46,quiet,,,13,13,72212320488207650,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1300 [13],French contact [13],c. 1300,,,,,,Coexistence,,,,,,,,,,,,,Present in pre-contact environment,,,quiet,immediate,French (Anglo-Norman),quiete,French (Anglo-Norman),,quiet / quiete,138,31,#221F1D,French (Anglo-Norman)
543,8365,13,21-37,punishment,,,13,13,72212320485466423,1.0,1.0,0.5,1. clearly borrowed,analyzable derived,1292 [13],French contact [13],1292,,,,,,Replacement,,punish-NMLZ,,,,,,,,,,,Present in pre-contact environment,,783.0,punishment,immediate,French (Anglo-Norman),punisement,French (Anglo-Norman),,punishment / punisement,138,32,#221F1D,French (Anglo-Norman)
544,8365,13,21-37,punishment,,,13,13,72212320485466423,1.0,1.0,0.5,1. clearly borrowed,analyzable derived,1292 [13],French contact [13],1292,,,,,,Replacement,,punish-NMLZ,,,,,,,,,,,Present in pre-contact environment,,,punishment,immediate,French (Anglo-Norman),punisement,French (Anglo-Norman),,punishment / punisement,138,33,#221F1D,French (Anglo-Norman)
422,8142,13,16-48,proud,,,13,13,72212320756119871,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1000 [13],French contact [13],c. 1000,,,,,,Replacement,,,,,,,,,Interesting as an early pre-Norman Conquest French loan into English,,,,Present in pre-contact environment,,778.0,proud,immediate,French (Anglo-Norman),prũt,French (Anglo-Norman),,proud / prũt,138,34,#221F1D,French (Anglo-Norman)
546,8367,13,21-39,prison,,,13,13,72212320250808287,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,before 1123 [13],French contact [13],before 1123,,,,,,Insertion,,,,,,,,,,,,,Present only since contact,,772.0,prison,immediate,French (Anglo-Norman),prisun,French (Anglo-Norman),,prison / prisun,138,35,#221F1D,French (Anglo-Norman)
349,7881,13,11-87,price,,,13,13,72212320915929405,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,before 1225 [13],French contact [13],before 1225,,,,,,Insertion,,,,,,,,,,,,,Present only since contact,,768.0,price,immediate,French (Anglo-Norman),pris,French (Anglo-Norman),,price / pris,138,36,#221F1D,French (Anglo-Norman)
583,8425,13,23-31,president,,,13,13,72212320665489161,1.0,1.0,0.5,1. clearly borrowed,analyzable derived,c. 1375 [13],French contact [13],c. 1375,,,,,,Insertion,,preside + agentive,,,,,,,,,,,Present only since contact,,763.0,president,immediate,French (Anglo-Norman),president,French (Anglo-Norman),,president / president,138,37,#221F1D,French (Anglo-Norman)
557,8386,13,22-22,preach,,,13,13,72212320358167836,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,before 1225 [13],French contact [13],before 1225,,,,,,Insertion,,,,,,,,,,,,,Present only since contact,,756.0,preach,immediate,French (Anglo-Norman),prechier,French (Anglo-Norman),,preach / prechier,138,38,#221F1D,French (Anglo-Norman)
433,8164,13,16-79,praise,,,13,13,72212320153946247,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,before 1225 [13],French contact [13],before 1225,,,,,,Replacement,,,,,,,,,,,,,Present in pre-contact environment,,752.0,praise,immediate,French (Anglo-Norman),preisier,French (Anglo-Norman),,praise / preisier,138,39,#221F1D,French (Anglo-Norman)
37,7165,13,3-662,porpoise,,,13,13,7221232051854274,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,before 1425 [13],French contact [13],before 1425,,,,,,Coexistence,,,,,,,,,,,,,Present only since contact,,737.0,porpoise,immediate,French (Anglo-Norman),porpois,French (Anglo-Norman),,porpoise / porpois,138,40,#221F1D,French (Anglo-Norman)
335,7859,13,11-52,poor,,,13,13,72212320841519418,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1205 [13],French contact [13],c. 1205,,,,,,Replacement,,,,,,,,,,,,,Present in pre-contact environment,,735.0,poor,immediate,French (Anglo-Norman),povre,French (Anglo-Norman),,poor / povre,138,41,#221F1D,French (Anglo-Norman)
189,7522,13,6-61,pocket,,,13,13,72212320419736684,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1430 [13],French contact [13],c. 1430,,,,,,Insertion,,,,,,,,,,,,,Present only since contact,,724.0,pocket,immediate,French (Anglo-Norman),pokete,French (Anglo-Norman),,pocket / pokete,138,42,#221F1D,French (Anglo-Norman)
139,7422,13,5-32,plate,,,13,13,72212320220421447,1.0,0.9,1.0,1. clearly borrowed,unanalyzable,1545 [13],French contact [13],1545,,,,,,Replacement,,,,,,,,,,,,,Present in pre-contact environment,,720.0,plate,immediate,French (Anglo-Norman),plat,French (Anglo-Norman),,plate / plat,138,43,#221F1D,French (Anglo-Norman)
202,7539,13,6-921,plait,,,13,13,72212320681781003,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,before 1398 [13],French contact [13],before 1398,,,,,,No information,,,,,,,,,,,,,Present in pre-contact environment,,714.0,plait,immediate,French (Anglo-Norman),pleit,French (Anglo-Norman),,plait / pleit,138,44,#221F1D,French (Anglo-Norman)
536,8354,13,21-21,plaintiff,,,13,13,72212320336427925,1.0,1.0,0.75,1. clearly borrowed,semi-analyzable,before 1400 [13],French contact [13],before 1400,,,,,,Replacement,,PLAINT remains in ‘complaint’,,,,,,,,,,,Present in pre-contact environment,,712.0,plaintiff,immediate,French (Anglo-Norman),plaintif,French (Anglo-Norman),,plaintiff / plaintif,138,45,#221F1D,French (Anglo-Norman)
417,8132,13,16-35,pity,,,13,13,72212320183766152,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,before 1250 [13],French contact [13],before 1250,,,,,,Replacement,,,,,,,,,,,,,Present in pre-contact environment,,706.0,pity,immediate,French (Anglo-Norman),pite,French (Anglo-Norman),,pity / pite,138,46,#221F1D,French (Anglo-Norman)
404,8093,13,15-712,pinch,,,13,13,72212320810860559,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1230 [13],French contact [13],c. 1230,,,,,,No information,,,,,,,,,,,,,Present in pre-contact environment,,699.0,pinch,immediate,French (Anglo-Norman),pinchier,French (Anglo-Norman),,pinch / pinchier,138,47,#221F1D,French (Anglo-Norman)
652,7995,13,13-231,piece,,,13,13,72212320236277936,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,1290 [13],French contact [13],1290,,,,,,Coexistence,,,,,,,,,,,,,Present in pre-contact environment,,690.0,piece,immediate,French (Anglo-Norman),peece,French (Anglo-Norman),,piece / peece,138,48,#221F1D,French (Anglo-Norman)
550,8372,13,21-47,perjury,,,13,13,72212320348608208,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,before 1393 [13],French contact [13],before 1393,,,,,,No information,,,,,,,,,,,,,Present in pre-contact environment,,683.0,perjury,immediate,French (Anglo-Norman),perjurie,French (Anglo-Norman),,perjury / perjurie,138,49,#221F1D,French (Anglo-Norman)
484,8274,13,19-21,people,,,13,13,72212320729880046,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,before 1300 [13],French contact [13],before 1300,,,,,,Coexistence,,,,,,,,,,,,,Present in pre-contact environment,,679.0,people,immediate,French (Anglo-Norman),people,French (Anglo-Norman),,people / people,138,50,#221F1D,French (Anglo-Norman)
508,8310,13,20-14,peace,,,13,13,72212320415646857,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,before 1160 [13],French contact [13],before 1160,,,,,,Replacement,,,,,,,,,,,,,Present in pre-contact environment,,673.0,peace,immediate,French (Anglo-Norman),pes,French (Anglo-Norman),,peace / pes,138,51,#221F1D,French (Anglo-Norman)
338,7867,13,11-65,pay,,,13,13,72212320434285366,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,before 1225 [13],French contact [13],before 1225,,,,,,Replacement,,,,,,,,,,,,,Present in pre-contact environment,,671.0,pay,immediate,French (Anglo-Norman),paier,French (Anglo-Norman),,pay / paier,138,52,#221F1D,French (Anglo-Norman)
54,7105,13,3-16,pasture,,,13,13,72212320393135258,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,before 1300 [13],French contact [13],before 1300,,,,,,Coexistence,,,,,,,,,,,,,Present in pre-contact environment,,668.0,pasture,immediate,French (Anglo-Norman),pastour,French (Anglo-Norman),,pasture / pastour,138,53,#221F1D,French (Anglo-Norman)
475,8260,13,18-56,paper,,,13,13,72212320746717125,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,1341-1342 [13],French contact [13],1341-1342,,,,,,Insertion,,,,,,,,,Greek to Latin to French to English.,,,,Present only since contact,,661.0,paper,immediate,French (Anglo-Norman),papir,French (Anglo-Norman),,paper / papir,138,54,#221F1D,French (Anglo-Norman)
383,8002,13,13-37,pair,,,13,13,72212320490912053,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1300 [13],French contact [13],c. 1300,,,,,,No information,,,,,,,,,,,,,Present in pre-contact environment,,655.0,pair,immediate,French (Anglo-Norman),paire,French (Anglo-Norman),,pair / paire,138,55,#221F1D,French (Anglo-Norman)
293,7748,13,9-88,paint,,,13,13,72212320257124290,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,1290-1291 [13],French contact [13],1290-1291,,,,,,Coexistence,,,,,,,,,,,,,Present in pre-contact environment,,652.0,paint,immediate,French (Anglo-Norman),peint,French (Anglo-Norman),,paint / peint,138,56,#221F1D,French (Anglo-Norman)
294,7748,13,9-88,paint,,,13,13,72212320257124290,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,1290-1291 [13],French contact [13],1290-1291,,,,,,Coexistence,,,,,,,,,,,,,Present in pre-contact environment,,653.0,paint,immediate,French (Anglo-Norman),peindre,French (Anglo-Norman),,paint / peindre,138,57,#221F1D,French (Anglo-Norman)
295,7749,13,9-89,paint,,,13,13,7221232090265899,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1275 [13],French contact [13],c. 1275,,,,,,Coexistence,,,,,,,,,,,,,Present in pre-contact environment,,652.0,paint,immediate,French (Anglo-Norman),peint,French (Anglo-Norman),,paint / peint,138,58,#221F1D,French (Anglo-Norman)
296,7749,13,9-89,paint,,,13,13,7221232090265899,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1275 [13],French contact [13],c. 1275,,,,,,Coexistence,,,,,,,,,,,,,Present in pre-contact environment,,653.0,paint,immediate,French (Anglo-Norman),peindre,French (Anglo-Norman),,paint / peindre,138,59,#221F1D,French (Anglo-Norman)
192,7525,13,6-71,ornament,,,13,13,72212320436355730,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,before 1382 [13],French contact [13],before 1382,,,,,,Replacement,,,,,,,,,Latin word is from ōrnāre ‘to decorate’,,,,Present in pre-contact environment,,643.0,ornament,immediate,French (Anglo-Norman),ornament,French (Anglo-Norman),,ornament / ornament,138,60,#221F1D,French (Anglo-Norman)
257,7654,13,8-83,orange,,,13,13,72212320925148099,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,before 1400 [13],French contact [13],before 1400,,,,,,Insertion,,,,,,,,,Tamil to Persian to French (o Late Latin) to English.,,,,Present only since contact,,639.0,orange,immediate,French (Anglo-Norman),orenge,French (Anglo-Norman),,orange / orenge,138,61,#221F1D,French (Anglo-Norman)
204,7542,13,6-94,ointment,,,13,13,72212320961531339,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1300 [13],French contact [13],c. 1300,,,,,,Coexistence,,,,,,,,,,,,,Present in pre-contact environment,,633.0,ointment,immediate,French (Anglo-Norman),oinement,French (Anglo-Norman),,ointment / oinement,138,62,#221F1D,French (Anglo-Norman)
